Date,Open,High,Low,Close,Adj Close,Volume,Return,,,,,deviation from mean,(x-mean)²,sum (x-mean)²
7/1/2020,3105.919922,3128.439941,3101.169922,3115.860107,3115.860107,4443130000,0.005022133,,,,,-53.05687358,2815.031834,
7/2/2020,3143.639893,3165.810059,3124.52002,3130.01001,3130.01001,4190830000,0.004541251,,,,,-38.90697058,1513.752359,
7/6/2020,3155.290039,3182.590088,3155.290039,3179.719971,3179.719971,4736450000,0.015881726,,,,,10.80299042,116.7046021,
7/7/2020,3166.439941,3184.149902,3142.929932,3145.320068,3145.320068,4563700000,-0.010818532,,,,,-23.59691258,556.8142831,
7/8/2020,3153.070068,3171.800049,3136.530029,3169.939941,3169.939941,4927700000,0.007827462,,,,,1.022960425,1.04644803,
7/9/2020,3176.169922,3179.780029,3115.699951,3152.050049,3152.050049,4829020000,-0.005643606,,,,,-16.86693158,284.4933808,
7/10/2020,3152.469971,3186.820068,3136.219971,3185.040039,3185.040039,4515340000,0.010466201,,,,,16.12305842,259.953013,
7/13/2020,3205.080078,3235.320068,3149.429932,3155.219971,3155.219971,4890780000,-0.009362541,,,,,-13.69700958,187.6080713,
7/14/2020,3141.110107,3200.949951,3127.659912,3197.52002,3197.52002,4476170000,0.013406371,,,,,28.60303942,818.1338643,
7/15/2020,3225.97998,3238.280029,3200.76001,3226.560059,3226.560059,4669760000,0.009082051,,,,,57.64307842,3322.72449,
7/16/2020,3208.360107,3220.389893,3198.590088,3215.570068,3215.570068,3961230000,-0.003406101,,,,,46.65308742,2176.510566,
7/17/2020,3224.209961,3233.52002,3205.649902,3224.72998,3224.72998,3993830000,0.002848612,,,,,55.81299942,3115.090905,
7/20/2020,3224.290039,3258.610107,3215.159912,3251.840088,3251.840088,3971200000,0.008406939,,,,,82.92310742,6876.241745,
7/21/2020,3268.52002,3277.290039,3247.77002,3257.300049,3257.300049,4547960000,0.001679037,,,,,88.38306842,7811.566784,
7/22/2020,3254.860107,3279.320068,3253.100098,3276.02002,3276.02002,4255190000,0.005747082,,,,,107.1030394,11471.06105,
7/23/2020,3271.639893,3279.98999,3222.659912,3235.659912,3235.659912,4290460000,-0.01231986,,,,,66.74293142,4454.618895,
7/24/2020,3218.580078,3227.26001,3200.050049,3215.629883,3215.629883,3894900000,-0.0061904,,,,,46.71290242,2182.095253,
7/27/2020,3219.840088,3241.429932,3214.25,3239.409912,3239.409912,3963910000,0.007395139,,,,,70.49293142,4969.253381,
7/28/2020,3234.27002,3243.719971,3216.169922,3218.439941,3218.439941,4027890000,-0.006473392,,,,,49.52296042,2452.523609,
7/29/2020,3227.219971,3264.73999,3227.219971,3258.439941,3258.439941,4676300000,0.012428382,,,,,89.52296042,8014.360443,
7/30/2020,3231.76001,3250.919922,3204.129883,3246.219971,3246.219971,4254010000,-0.003750252,,,,,77.30299042,5975.752329,
7/31/2020,3270.449951,3272.169922,3220.26001,3271.120117,3271.120117,5117260000,0.007670505,,,,,102.2031364,10445.4811,
8/3/2020,3288.26001,3302.72998,3284.530029,3294.610107,3294.610107,4643640000,0.007181023,,,,,125.6931264,15798.76203,
8/4/2020,3289.919922,3306.840088,3286.370117,3306.51001,3306.51001,4621670000,0.003611931,,,,,137.5930294,18931.84175,
8/5/2020,3317.370117,3330.77002,3317.370117,3327.77002,3327.77002,4732220000,0.006429743,,,,,158.8530394,25234.28813,
8/6/2020,3323.169922,3351.030029,3318.139893,3349.159912,3349.159912,4267490000,0.006427695,,,,,180.2429314,32487.51433,
8/7/2020,3340.050049,3352.540039,3328.719971,3351.280029,3351.280029,4104860000,0.000633029,,,,,182.3630484,33256.28143,
8/10/2020,3356.040039,3363.290039,3335.439941,3360.469971,3360.469971,4318570000,0.002742218,,,,,191.5529904,36692.54814,
8/11/2020,3370.340088,3381.01001,3326.439941,3333.689941,3333.689941,5087650000,-0.007969132,,,,,164.7729604,27150.12849,
8/12/2020,3355.459961,3387.889893,3355.459961,3380.350098,3380.350098,3768560000,0.01399655,,,,,211.4331174,44703.96314,
8/13/2020,3372.949951,3387.23999,3363.350098,3373.429932,3373.429932,3648810000,-0.002047174,,,,,204.5129514,41825.5473,
8/14/2020,3368.659912,3378.51001,3361.639893,3372.850098,3372.850098,3193400000,-0.000171883,,,,,203.9331174,41588.71638,
8/17/2020,3380.860107,3387.590088,3379.219971,3381.98999,3381.98999,3671290000,0.002709842,,,,,213.0730094,45400.10735,
8/18/2020,3387.040039,3395.060059,3370.149902,3389.780029,3389.780029,3881310000,0.002303389,,,,,220.8630484,48780.48616,
8/19/2020,3392.51001,3399.540039,3369.659912,3374.850098,3374.850098,3884480000,-0.004404395,,,,,205.9331174,42408.44885,
8/20/2020,3360.47998,3390.800049,3354.689941,3385.51001,3385.51001,3642850000,0.003158633,,,,,216.5930294,46912.5404,
8/21/2020,3386.01001,3399.959961,3379.310059,3397.159912,3397.159912,3705420000,0.003441107,,,,,228.2429314,52094.83575,
8/24/2020,3418.090088,3432.090088,3413.129883,3431.280029,3431.280029,3728690000,0.010043718,,,,,262.3630484,68834.36918,
8/25/2020,3435.949951,3444.209961,3425.840088,3443.620117,3443.620117,3619300000,0.003596351,,,,,274.7031364,75461.81316,
8/26/2020,3449.969971,3481.070068,3444.149902,3478.72998,3478.72998,3754360000,0.010195626,,,,,309.8129994,95984.09461,
8/27/2020,3485.139893,3501.379883,3468.350098,3484.550049,3484.550049,3929560000,0.001673044,,,,,315.6330684,99624.23388,
8/28/2020,3494.689941,3509.22998,3484.320068,3508.01001,3508.01001,3855880000,0.006732565,,,,,339.0930294,114984.0826,
8/31/2020,3509.72998,3514.77002,3493.25,3500.310059,3500.310059,4342290000,-0.002194963,,,,,331.3930784,109821.3724,
9/1/2020,3507.439941,3528.030029,3494.600098,3526.649902,3526.649902,4083110000,0.007525003,,,,,357.7329214,127972.8431,
9/2/2020,3543.76001,3588.110107,3535.22998,3580.840088,3580.840088,4285190000,0.01536591,,,,,411.9231074,169680.6464,
9/3/2020,3564.73999,3564.850098,3427.409912,3455.060059,3455.060059,4898680000,-0.035125844,,,,,286.1430784,81877.86133,
9/4/2020,3453.600098,3479.149902,3349.629883,3426.959961,3426.959961,4431440000,-0.008133027,,,,,258.0429804,66586.17975,
9/8/2020,3371.879883,3379.969971,3329.27002,3331.840088,3331.840088,4665600000,-0.027756342,,,,,162.9231074,26543.93893,
9/9/2020,3369.820068,3424.77002,3366.840088,3398.959961,3398.959961,3920830000,0.020144986,,,,,230.0429804,52919.77284,
9/10/2020,3412.560059,3425.550049,3329.25,3339.189941,3339.189941,4192250000,-0.017584797,,,,,170.2729604,28992.88105,
9/11/2020,3352.699951,3368.949951,3310.469971,3340.969971,3340.969971,3704450000,0.000533072,,,,,172.0529904,29602.23151,
9/14/2020,3363.560059,3402.929932,3363.560059,3383.540039,3383.540039,3832130000,0.012741829,,,,,214.6230584,46063.05721,
9/15/2020,3407.72998,3419.47998,3389.25,3401.199951,3401.199951,4051460000,0.00521936,,,,,232.2829704,53955.37835,
9/16/2020,3411.22998,3428.919922,3384.449951,3385.48999,3385.48999,4710030000,-0.004618947,,,,,216.5730094,46903.86841,
9/17/2020,3346.860107,3375.169922,3328.820068,3357.01001,3357.01001,4371940000,-0.008412366,,,,,188.0930294,35378.98772,
9/18/2020,3357.379883,3362.27002,3292.399902,3319.469971,3319.469971,7068700000,-0.011182582,,,,,150.5529904,22666.20293,
9/21/2020,3285.570068,3285.570068,3229.100098,3281.060059,3281.060059,4828350000,-0.011571098,,,,,112.1430784,12576.07004,
9/22/2020,3295.75,3320.310059,3270.949951,3315.570068,3315.570068,3963300000,0.010517945,,,,,146.6530874,21507.12805,
9/23/2020,3320.110107,3323.350098,3232.570068,3236.919922,3236.919922,4364500000,-0.023721455,,,,,68.00294142,4624.400042,
9/24/2020,3226.139893,3278.699951,3209.449951,3246.590088,3246.590088,4599470000,0.002987459,,,,,77.67310742,6033.111617,
9/25/2020,3236.659912,3306.879883,3228.439941,3298.459961,3298.459961,3792220000,0.015976724,,,,,129.5429804,16781.38378,
9/28/2020,3333.899902,3360.73999,3332.909912,3351.600098,3351.600098,3946060000,0.01611059,,,,,182.6831174,33373.12139,
